date,daily_full
2021-02-24,0
2021-02-25,0
2021-02-26,1
2021-02-27,1
2021-02-28,3
2021-03-01,4
2021-03-02,3
2021-03-03,5
2021-03-04,13
2021-03-05,4
2021-03-06,1
2021-03-07,2
2021-03-08,12
2021-03-09,10
2021-03-10,2
2021-03-11,0
2021-03-12,1
2021-03-13,0
2021-03-14,0
2021-03-15,1
2021-03-16,4
2021-03-17,60
2021-03-18,794
2021-03-19,3800
2021-03-20,6062
2021-03-21,5792
2021-03-22,14537
2021-03-23,20837
2021-03-24,22767
2021-03-25,19320
2021-03-26,12758
2021-03-27,14334
2021-03-28,12857
2021-03-29,27281
2021-03-30,29323
2021-03-31,27441
2021-04-01,26507
2021-04-02,22857
2021-04-03,14581
2021-04-04,8935
2021-04-05,19376
2021-04-06,21633
2021-04-07,18226
2021-04-08,14752
2021-04-09,14327
2021-04-10,10006
2021-04-11,10681
2021-04-12,13918
2021-04-13,7683
2021-04-14,7692
2021-04-15,9150
2021-04-16,3919
2021-04-17,1071
2021-04-18,3748
2021-04-19,8302
2021-04-20,11168
2021-04-21,11718
2021-04-22,15054
2021-04-23,6671
2021-04-24,3476
2021-04-25,5684
2021-04-26,8915
2021-04-27,11828
2021-04-28,13178
2021-04-29,6036
2021-04-30,8865
2021-05-01,2468
2021-05-02,8100
2021-05-03,26664
2021-05-04,19670
2021-05-05,22864
2021-05-06,18737
2021-05-07,15445
2021-05-08,8399
2021-05-09,6584
2021-05-10,24785
2021-05-11,18403
2021-05-12,7812
2021-05-13,7
2021-05-14,7
2021-05-15,592
2021-05-16,327
2021-05-17,28108
2021-05-18,32290
2021-05-19,34019
2021-05-20,21907
2021-05-21,18771
2021-05-22,3178
2021-05-23,8367
2021-05-24,26022
2021-05-25,30690
2021-05-26,1899
2021-05-27,49466
2021-05-28,27427
2021-05-29,14976
2021-05-30,24331
2021-05-31,28580
2021-06-01,24426
2021-06-02,9874
2021-06-03,7834
2021-06-04,4954
2021-06-05,1392
2021-06-06,1599
2021-06-07,5085
2021-06-08,46235
2021-06-09,40675
2021-06-10,47373
2021-06-11,30240
2021-06-12,34092
2021-06-13,26936
2021-06-14,55829
2021-06-15,56101
2021-06-16,8237
2021-06-17,44326
2021-06-18,32683
2021-06-19,36236
2021-06-20,24218
2021-06-21,54660
2021-06-22,60926
2021-06-23,79974
2021-06-24,94571
2021-06-25,68146
2021-06-26,56277
2021-06-27,66068
2021-06-28,43518
2021-06-29,85321
2021-06-30,96668
2021-07-01,86441
2021-07-02,70548
2021-07-03,78992
2021-07-04,80440
2021-07-05,120497
2021-07-06,138185
2021-07-07,175586
2021-07-08,159402
2021-07-09,129164
2021-07-10,115684
2021-07-11,102435
2021-07-12,162028
2021-07-13,170363
2021-07-14,162417
2021-07-15,160148
2021-07-16,133273
2021-07-17,130865
2021-07-18,103555
2021-07-19,154195
2021-07-20,102967
2021-07-21,169996
2021-07-22,176409
2021-07-23,164291
2021-07-24,137392
2021-07-25,124884
2021-07-26,195335
2021-07-27,205582
2021-07-28,206735
2021-07-29,218063
2021-07-30,202732
2021-07-31,206982
2021-08-01,185093
2021-08-02,251148
2021-08-03,250148
2021-08-04,272424
2021-08-05,303016
2021-08-06,265208
2021-08-07,246443
2021-08-08,239220
2021-08-09,282727
2021-08-10,201029
2021-08-11,273826
2021-08-12,333074
2021-08-13,310902
2021-08-14,288965
2021-08-15,281010
2021-08-16,334515
2021-08-17,349510
2021-08-18,363748
2021-08-19,350714
2021-08-20,340235
2021-08-21,324648
2021-08-22,313538
2021-08-23,255222
2021-08-24,275576
2021-08-25,273390
2021-08-26,265887
2021-08-27,216036
2021-08-28,207421
2021-08-29,175590
2021-08-30,194023
2021-08-31,156207
2021-09-01,227530
2021-09-02,205646
2021-09-03,200076
2021-09-04,184772
2021-09-05,168584
2021-09-06,197356
2021-09-07,204762
2021-09-08,209447
2021-09-09,205026
2021-09-10,193959
2021-09-11,186226
2021-09-12,162932
2021-09-13,169855
2021-09-14,185782
2021-09-15,193673
2021-09-16,148305
2021-09-17,174920
2021-09-18,171499
2021-09-19,166911
2021-09-20,206266
2021-09-21,145392
2021-09-22,209180
2021-09-23,203538
2021-09-24,164591
2021-09-25,153581
2021-09-26,158155
2021-09-27,158008
2021-09-28,167274
2021-09-29,154244
2021-09-30,169049
2021-10-01,139708
2021-10-02,126739
2021-10-03,116515
2021-10-04,102988
2021-10-05,106315
2021-10-06,100047
2021-10-07,92109
2021-10-08,103805
2021-10-09,107051
2021-10-10,100962
2021-10-11,135064
2021-10-12,155269
2021-10-13,155401
2021-10-14,164352
2021-10-15,129832
2021-10-16,109808
2021-10-17,115302
2021-10-18,167136
2021-10-19,118575
2021-10-20,212496
2021-10-21,186362
2021-10-22,113989
2021-10-23,94354
2021-10-24,106261
2021-10-25,140054
2021-10-26,136290
