date,Forecast
10/27/2021,130101.7645
10/28/2021,132717.9133
10/29/2021,131838.5828
10/30/2021,132350.6143
10/31/2021,129835.9321
11/1/2021,145308.5132
11/2/2021,139426.6654
11/3/2021,124437.1183
11/4/2021,132602.7701
11/5/2021,134766.6994
11/6/2021,140145.4457
11/7/2021,137038.033
11/8/2021,130672.6704
11/9/2021,133314.5677
11/10/2021,132412.1129
11/11/2021,132913.2762
11/12/2021,130385.1276
11/13/2021,145845.2428
11/14/2021,139951.0472
11/15/2021,124949.4763
11/16/2021,133103.3703
11/17/2021,135255.8141
11/18/2021,140623.3378
11/19/2021,137504.9601
11/20/2021,131128.8841
11/21/2021,133760.3137
11/22/2021,132847.6316
11/23/2021,133338.802
11/24/2021,130800.8899
11/25/2021,146251.4657
11/26/2021,140347.9495
11/27/2021,125337.2719
11/28/2021,133482.2681
11/29/2021,135626.0182
11/30/2021,140985.0478
12/1/2021,137858.3707
12/2/2021,131474.1859
